Experiment: 2026-02-11_SUN4-mNG_RTqPCR_ADH1only_p2_BK  Selected Filter: SYBR Green I / HRM Dye (483-533)
Include	Color	Pos	Name	Cp	Concentration	Standard	Status
True	255	A1	Sample 1	15.58		0	
True	255	A2	Sample 2	16.36		0	
True	255	A3	Sample 3	13.98		0	
True	255	A4	Sample 4	12.61		0	
True	255	A5	Sample 5	16.59		0	
True	255	A6	Sample 6	16.98		0	
True	255	A7	Sample 7	15.56		0	
True	255	A8	Sample 8	17.30		0	
True	255	A9	Sample 9	13.91		0	
True	255	A10	Sample 10	12.48		0	
True	255	A11	Sample 11	16.45		0	
True	255	A12	Sample 12	16.77		0	
True	255	A13	Sample 13	14.77		0	
True	255	A14	Sample 14	16.54		0	
True	255	A15	Sample 15	14.31		0	
True	255	A16	Sample 16	12.90		0	
True	255	A17	Sample 17	16.36		0	
True	255	A18	Sample 18	17.37		0	
True	65280	A19	Sample 19			0	
True	65280	A20	Sample 20			0	
True	65280	A21	Sample 21			0	
True	65280	A22	Sample 22			0	
True	65280	A23	Sample 23			0	
True	65280	A24	Sample 24			0	
True	255	B1	Sample 25	15.35		0	
True	255	B2	Sample 26	16.75		0	
True	255	B3	Sample 27	13.88		0	
True	255	B4	Sample 28	12.59		0	
True	255	B5	Sample 29	15.56		0	
True	255	B6	Sample 30	16.48		0	
True	255	B7	Sample 31	15.35		0	
True	255	B8	Sample 32	16.48		0	
True	255	B9	Sample 33	13.58		0	
True	255	B10	Sample 34	12.42		0	
True	255	B11	Sample 35	15.37		0	
True	255	B12	Sample 36	15.90		0	
True	255	B13	Sample 37	14.76		0	
True	255	B14	Sample 38	15.56		0	
True	255	B15	Sample 39	13.55		0	
True	255	B16	Sample 40	11.98		0	
True	255	B17	Sample 41	15.49		0	
True	255	B18	Sample 42	16.87		0	
True	65280	B19	Sample 43			0	
True	65280	B20	Sample 44			0	
True	65280	B21	Sample 45			0	
True	65280	B22	Sample 46			0	
True	65280	B23	Sample 47			0	
True	65280	B24	Sample 48			0	
True	255	C1	Sample 49	16.54		0	
True	255	C2	Sample 50	16.87		0	
True	255	C3	Sample 51	14.79		0	
True	255	C4	Sample 52	13.42		0	
True	255	C5	Sample 53	16.78		0	
True	255	C6	Sample 54	17.63		0	
True	255	C7	Sample 55	15.89		0	
True	255	C8	Sample 56	17.55		0	
True	255	C9	Sample 57	15.36		0	
True	255	C10	Sample 58	12.97		0	
True	255	C11	Sample 59	17.36		0	
True	255	C12	Sample 60	16.90		0	
True	255	C13	Sample 61	15.84		0	
True	255	C14	Sample 62	16.80		0	
True	255	C15	Sample 63	14.78		0	
True	255	C16	Sample 64	13.39		0	
True	255	C17	Sample 65	16.75		0	
True	255	C18	Sample 66	17.52		0	
True	65280	C19	Sample 67			0	
True	65280	C20	Sample 68			0	
True	65280	C21	Sample 69			0	
True	65280	C22	Sample 70			0	
True	65280	C23	Sample 71			0	
True	65280	C24	Sample 72			0	
True	255	D1	Sample 73	16.73		0	
True	255	D2	Sample 74	16.32		0	
True	255	D3	Sample 75	14.27		0	
True	255	D4	Sample 76	12.50		0	
True	255	D5	Sample 77	16.76		0	
True	255	D6	Sample 78	16.60		0	
True	255	D7	Sample 79	15.82		0	
True	255	D8	Sample 80	16.89		0	
True	255	D9	Sample 81	14.29		0	
True	255	D10	Sample 82	12.32		0	
True	255	D11	Sample 83	16.37		0	
True	255	D12	Sample 84	16.56		0	
True	255	D13	Sample 85	15.46		0	
True	255	D14	Sample 86	16.38		0	
True	255	D15	Sample 87	13.94		0	
True	255	D16	Sample 88	12.61		0	
True	255	D17	Sample 89	16.32		0	
True	255	D18	Sample 90	16.64		0	
True	65280	D19	Sample 91			0	
True	65280	D20	Sample 92			0	
True	65280	D21	Sample 93			0	
True	65280	D22	Sample 94			0	
True	65280	D23	Sample 95			0	
True	65280	D24	Sample 96			0	
True	255	E1	Sample 97	12.35		0	
True	255	E2	Sample 98	15.67		0	
True	255	E3	Sample 99	12.34		0	
True	255	E4	Sample 100	11.74		0	
True	255	E5	Sample 101	12.25		0	
True	255	E6	Sample 102	12.57		0	
True	255	E7	Sample 103	11.96		0	
True	255	E8	Sample 104	15.59		0	
True	255	E9	Sample 105	11.68		0	
True	255	E10	Sample 106	10.88		0	
True	255	E11	Sample 107	12.87		0	
True	255	E12	Sample 108	11.66		0	
True	255	E13	Sample 109	12.04		0	
True	255	E14	Sample 110	12.99		0	
True	255	E15	Sample 111	11.72		0	
True	255	E16	Sample 112	12.18		0	
True	255	E17	Sample 113	11.46		0	
True	255	E18	Sample 114	12.55		0	
True	65280	E19	Sample 115			0	
True	65280	E20	Sample 116			0	
True	65280	E21	Sample 117			0	
True	65280	E22	Sample 118			0	
True	65280	E23	Sample 119			0	
True	65280	E24	Sample 120			0	
True	255	F1	Sample 121	16.58		0	
True	255	F2	Sample 122	17.37		0	
True	255	F3	Sample 123	13.98		0	
True	255	F4	Sample 124	12.61		0	
True	255	F5	Sample 125	16.36		0	
True	255	F6	Sample 126	23.85		0	
True	255	F7	Sample 127	15.80		0	
True	255	F8	Sample 128	16.98		0	
True	255	F9	Sample 129	13.64		0	
True	255	F10	Sample 130	11.99		0	
True	255	F11	Sample 131	16.73		0	
True	255	F12	Sample 132	23.99		0	
True	255	F13	Sample 133	15.44		0	
True	255	F14	Sample 134	16.66		0	
True	255	F15	Sample 135	13.59		0	
True	255	F16	Sample 136	12.38		0	
True	255	F17	Sample 137	15.51		0	
True	255	F18	Sample 138	23.68		0	
True	65280	F19	Sample 139			0	
True	65280	F20	Sample 140			0	
True	65280	F21	Sample 141			0	
True	65280	F22	Sample 142			0	
True	65280	F23	Sample 143			0	
True	65280	F24	Sample 144			0	
True	255	G1	Sample 145	13.30		0	
True	255	G2	Sample 146	16.49		0	
True	255	G3	Sample 147	12.96		0	
True	255	G4	Sample 148	11.98		0	
True	255	G5	Sample 149	14.60		0	
True	255	G6	Sample 150	15.78		0	
True	255	G7	Sample 151	13.70		0	
True	255	G8	Sample 152	14.49		0	
