Experiment: 2026-01-28_SUN4-mNG_RTqPCR_replacedUTRs_p2_BK  Selected Filter: SYBR Green I / HRM Dye (483-533)
Include	Color	Pos	Name	Cp	Concentration	Standard	Status
True	255	A1	Sample 1	15.95		0	
True	255	A2	Sample 2	15.80		0	
True	255	A3	Sample 3	15.40		0	
True	255	A4	Sample 4	14.48		0	
True	255	A5	Sample 5	17.46		0	
True	255	A6	Sample 6	30.79		0	
True	255	A7	Sample 7	16.30		0	
True	255	A8	Sample 8	15.59		0	
True	255	A9	Sample 9	14.99		0	
True	255	A10	Sample 10	14.32		0	
True	255	A11	Sample 11	17.62		0	
True	255	A12	Sample 12	37.84		0	
True	255	A13	Sample 13	15.78		0	
True	255	A14	Sample 14	16.36		0	
True	255	A15	Sample 15	14.31		0	
True	255	A16	Sample 16	14.47		0	
True	255	A17	Sample 17	16.78		0	
True	255	A18	Sample 18	28.99		0	
True	65280	A19	Sample 19			0	
True	65280	A20	Sample 20			0	
True	65280	A21	Sample 21			0	
True	65280	A22	Sample 22			0	
True	65280	A23	Sample 23			0	
True	65280	A24	Sample 24			0	
True	255	B1	Sample 25	14.70		0	
True	255	B2	Sample 26	14.83		0	
True	255	B3	Sample 27	13.72		0	
True	255	B4	Sample 28	12.81		0	
True	255	B5	Sample 29	12.94		0	
True	255	B6	Sample 30	18.78		0	
True	255	B7	Sample 31	13.38		0	
True	255	B8	Sample 32	14.48		0	
True	255	B9	Sample 33	12.83		0	
True	255	B10	Sample 34	12.60		0	
True	255	B11	Sample 35	14.71		0	
True	255	B12	Sample 36	17.20		0	
True	255	B13	Sample 37	14.37		0	
True	255	B14	Sample 38	15.30		0	
True	255	B15	Sample 39	13.44		0	
True	255	B16	Sample 40	12.75		0	
True	255	B17	Sample 41	14.58		0	
True	255	B18	Sample 42	16.34		0	
True	65280	B19	Sample 43			0	
True	255	B20	Sample 44	35.60		0	
True	65280	B21	Sample 45			0	
True	65280	B22	Sample 46			0	
True	65280	B23	Sample 47			0	
True	255	B24	Sample 48	33.88		0	
True	255	C1	Sample 49	15.44		0	
True	255	C2	Sample 50	16.40		0	
True	255	C3	Sample 51	13.43		0	
True	255	C4	Sample 52	12.73		0	
True	255	C5	Sample 53	15.53		0	
True	255	C6	Sample 54	15.67		0	
True	255	C7	Sample 55	14.91		0	
True	255	C8	Sample 56	15.68		0	
True	255	C9	Sample 57	13.52		0	
True	255	C10	Sample 58	12.78		0	
True	255	C11	Sample 59	15.85		0	
True	255	C12	Sample 60	16.25		0	
True	255	C13	Sample 61	14.94		0	
True	255	C14	Sample 62	15.84		0	
True	255	C15	Sample 63	13.35		0	
True	255	C16	Sample 64	12.72		0	
True	255	C17	Sample 65	15.55		0	
True	255	C18	Sample 66	16.34		0	
True	65280	C19	Sample 67			0	
True	65280	C20	Sample 68			0	
True	65280	C21	Sample 69			0	
True	65280	C22	Sample 70			0	
True	65280	C23	Sample 71			0	
True	65280	C24	Sample 72			0	
True	255	D1	Sample 73	14.76		0	
True	255	D2	Sample 74	15.11		0	
True	255	D3	Sample 75	13.33		0	
True	255	D4	Sample 76	12.88		0	
True	255	D5	Sample 77	14.32		0	
True	255	D6	Sample 78	14.95		0	
True	255	D7	Sample 79	15.63		0	
True	255	D8	Sample 80	14.98		0	
True	255	D9	Sample 81	13.76		0	
True	255	D10	Sample 82	12.16		0	
True	255	D11	Sample 83	15.75		0	
True	255	D12	Sample 84	15.26		0	
True	255	D13	Sample 85	14.19		0	
True	255	D14	Sample 86	15.92		0	
True	255	D15	Sample 87	12.83		0	
True	255	D16	Sample 88	13.55		0	
True	255	D17	Sample 89	13.77		0	
True	255	D18	Sample 90	14.93		0	
True	65280	D19	Sample 91			0	
True	65280	D20	Sample 92			0	
True	65280	D21	Sample 93			0	
True	65280	D22	Sample 94			0	
True	65280	D23	Sample 95			0	
True	65280	D24	Sample 96			0	
True	255	E1	Sample 97	16.34		0	
True	255	E2	Sample 98	16.31		0	
True	255	E3	Sample 99	14.26		0	
True	255	E4	Sample 100	13.76		0	
True	255	E5	Sample 101	16.36		0	
True	255	E6	Sample 102	16.96		0	
True	255	E7	Sample 103	15.95		0	
True	255	E8	Sample 104	15.76		0	
True	255	E9	Sample 105	14.40		0	
True	255	E10	Sample 106	13.45		0	
True	255	E11	Sample 107	15.82		0	
True	255	E12	Sample 108	16.47		0	
True	255	E13	Sample 109	15.64		0	
True	255	E14	Sample 110	15.97		0	
True	255	E15	Sample 111	14.25		0	
True	255	E16	Sample 112	13.68		0	
True	255	E17	Sample 113	16.00		0	
True	255	E18	Sample 114	16.52		0	
True	65280	E19	Sample 115			0	
True	65280	E20	Sample 116			0	
True	65280	E21	Sample 117			0	
True	65280	E22	Sample 118			0	
True	65280	E23	Sample 119			0	
True	65280	E24	Sample 120			0	
True	255	F1	Sample 121	15.42		0	
True	255	F2	Sample 122	15.53		0	
True	255	F3	Sample 123	13.71		0	
True	255	F4	Sample 124	13.38		0	
True	255	F5	Sample 125	14.65		0	
True	255	F6	Sample 126	15.83		0	
True	255	F7	Sample 127	14.61		0	
True	255	F8	Sample 128	15.77		0	
True	255	F9	Sample 129	12.92		0	
True	255	F10	Sample 130	13.45		0	
True	255	F11	Sample 131	15.58		0	
True	255	F12	Sample 132	15.89		0	
True	255	F13	Sample 133	15.41		0	
True	255	F14	Sample 134	15.71		0	
True	255	F15	Sample 135	13.36		0	
True	255	F16	Sample 136	13.29		0	
True	255	F17	Sample 137	15.29		0	
True	255	F18	Sample 138	14.69		0	
True	65280	F19	Sample 139			0	
True	255	F20	Sample 140	34.79		0	
True	255	F21	Sample 141	32.35		0	
True	65280	F22	Sample 142			0	
True	65280	F23	Sample 143			0	
