Estimate	Std. Error	t value	Pr(>|t|)
StrainNative (no intron).Wild Type	-0.103333333333333	0.178394515539585	-0.579240527775105	0.567058287661113
StrainSub-3.Wild Type	-0.596666666666667	0.178394515539585	-3.34464691844335	0.00235514383402678
StrainSub-2.Wild Type	-0.106666666666667	0.178394515539585	-0.597925706090434	0.554695353813747
StrainSub-1.Wild Type	-0.336666666666667	0.178394515539585	-1.88720300984792	0.0695400873356512
StrainDel-3.Wild Type	0.206666666666666	0.178394515539585	1.1584810555502	0.256453485970513
StrainDel-2.Wild Type	-0.623333333333334	0.178394515539585	-3.49412834496596	0.00160072307280359
StrainDel-1.Wild Type	-0.373333333333334	0.178394515539585	-2.09273997131651	0.0455565066988024
StrainSub-3.ssd1delta	-0.316666666666668	0.178394515539585	-1.77509193995597	0.0867557033407911
StrainSub-2.ssd1delta	-0.816666666666668	0.178394515539585	-4.57786868725487	8.78807008255987e-05
StrainSub-1.ssd1delta	-0.263333333333334	0.178394515539585	-1.47612908691075	0.151067865860536
StrainDel-3.ssd1delta	-0.39	0.178394515539585	-2.18616586289314	0.0373239887240725
StrainDel-2.ssd1delta	0.206666666666666	0.178394515539585	1.15848105555021	0.256453485970511
StrainDel-1.ssd1delta	0.073333333333333	0.178394515539585	0.411073922937169	0.684147629217308
StrainNative (no intron).ssd1delta	-0.246666666666667	0.178394515539585	-1.38270319533412	0.177685207519334
