Estimate	Std. Error	t value	Pr(>|t|)
StrainWT.SUN4.Wild Type	0.359999999999999	0.240159669109255	1.49900273153785	0.149492504395486
StrainWT.ADH1.Wild Type	-0.266666666666669	0.240159669109255	-1.11037239373175	0.280010583140802
Strainintronless.ADH1.Wild Type	0.109999999999998	0.240159669109255	0.458028612414337	0.651869376429666
StrainPGK1.ADH1.Wild Type	0.393333333333332	0.240159669109255	1.63779928075432	0.117101583953794
StrainPGK1.SUN4.Wild Type	0.039999999999998	0.240159669109255	0.166555859059753	0.869391883904159
StrainWT.ADH1.ssd1delta	-0.363333333333335	0.240159669109255	-1.51288238645951	0.145951821796889
Strainintronless.ADH1.ssd1delta	0.373333333333332	0.240159669109255	1.55452135122444	0.135742449498319
StrainPGK1.ADH1.ssd1delta	0.379999999999999	0.240159669109255	1.58228066106773	0.129271341045419
StrainWT.SUN4.ssd1delta	-0.426666666666668	0.240159669109255	-1.7765958299708	0.0908498603042528
StrainPGK1.SUN4.ssd1delta	-0.256666666666668	0.240159669109255	-1.06873342896681	0.297919984458461
